Month-Year,Pivot Field Names,Pivot Field Values
01-May-16,Imports: Sweden,134.3
01-May-16,Imports: Switzerland,657.2
01-May-16,Imports: Taiwan,2386.8
01-May-16,Imports: Tanzania,2
01-May-16,Imports: Thailand,741.5
01-May-16,Imports: Tunisia,1.9
01-May-16,Imports: Turkey,126.1
01-May-16,Imports: USA,3557.1
01-May-16,Imports: Ukraine,18.9
01-May-16,Imports: United Arab Emirates,716.6
01-May-16,Imports: United Kingdom,619.6
01-May-16,Imports: Uruguay,0.7
01-May-16,Imports: Vanuatu,0
01-May-16,Imports: Venezuela,24.7
01-May-16,Imports: Vietnam,382.8
01-May-16,Imports: Yemen,0.2
01-May-16,Imports: Zambia,7.7
01-May-16,Imports: Zimbabwe,0.3
01-Jun-16,Imports: Afghanistan,0.1
01-Jun-16,Imports: Angola,1.1
01-Jun-16,Imports: Argentina,6.3
01-Jun-16,Imports: Australia,451.5
01-Jun-16,Imports: Austria,126.3
01-Jun-16,Imports: Bahamas,0
01-Jun-16,Imports: Bahrain,2.7
01-Jun-16,Imports: Bangladesh,22
01-Jun-16,Imports: Belarus,0.3
01-Jun-16,Imports: Belgium,106.3
01-Jun-16,Imports: Brazil,119.9
01-Jun-16,Imports: Brunei,2.9
